ImageID,Num_of_Positive,Num_of_Neutral,Num_of_Negative
3884211846,0,0,3
35252915,0,0,3
5717047975,0,0,3
3240225407,0,0,3
242150272,0,0,3
5523400233,0,0,3
2836589299,0,0,3
5746998692,0,0,3
5959793257,0,0,3
5547458984,0,0,3
2244240716,0,0,3
467384197,0,0,3
6950034934,0,0,3
3042901911,0,0,3
3246045459,0,0,3
5922310381,0,0,3
389849817,0,0,3
1258537198,0,0,3
2288748831,0,0,3
363324121,0,0,3
7117401885,0,0,3
6622760915,0,0,3
295324363,0,0,3
6156812228,0,0,3
4047530356,0,0,3
5553916644,0,0,3
142388551,0,0,3
5162187913,0,0,3
3578255160,0,0,3
3098607451,0,0,3
5643411891,0,0,3
3596133079,0,0,3
4180209384,0,0,3
7110354771,0,0,3
2778751256,0,0,3
4243040456,0,0,3
6291500714,0,0,3
7033958095,0,0,3
3774282383,0,0,3
3427708995,0,0,3
255738505,0,0,3
5787085877,0,0,3
2288750647,0,0,3
6595896843,0,0,3
5975414537,0,0,3
5357108005,0,0,3
4632231754,0,0,3
357243237,0,0,3
2892612998,0,0,3
7243879942,0,0,3
2215421253,0,0,3
3500801268,0,0,3
2745370436,0,0,3
5773840616,0,0,3
5314392189,0,0,3
4417348614,0,0,3
2800233551,0,0,3
4437267087,0,0,3
3985356487,0,0,3
7165475350,0,0,3
5582826262,0,0,3
6564497389,0,0,3
4563089112,0,0,3
28054900,0,0,3
5408776560,0,0,3
4972673143,0,0,3
4112030958,0,0,3
5029504750,0,0,3
7080617131,0,0,3
5381241921,0,0,3
501492906,0,0,3
2755688396,0,0,3
4271720108,0,0,3
3043174333,0,0,3
328364237,0,0,3
5655242382,0,0,3
5130163348,0,0,3
6811955899,0,0,3
4879525928,0,0,3
2218216494,0,0,3
3558175366,0,0,3
5214499430,0,0,3
48479590,0,0,3
2373353608,0,0,3
6915399422,0,0,3
85153098,0,0,3
6385532415,0,0,3
430654720,0,0,3
3417189640,0,0,3
5374146890,0,0,3
5179036157,0,0,3
5397319873,0,0,3
3389078917,0,0,3
2177698503,0,0,3
2618361502,0,0,3
6702614979,0,0,3
975298081,0,0,3
3169484102,0,0,3
184674981,0,0,3
3165974398,0,0,3
5817603053,0,0,3
27169621,0,0,3
2317059537,0,0,3
2957748053,0,0,3
2976775954,0,0,3
5128133855,0,0,3
2236104748,0,0,3
5533192391,0,0,3
2117698540,0,0,3
3011289478,0,0,3
6026046600,0,0,3
6483521791,0,0,3
5514106991,0,0,3
262082939,0,0,3
457811208,0,0,3
4759817591,0,0,3
4019452804,0,0,3
3492158723,0,0,3
5729625806,0,0,3
5582725766,0,0,3
95041310,0,0,3
2302023521,0,0,3
358615648,0,0,3
4363740881,0,0,3
2629826225,0,0,3
2892698064,0,0,3
4055168746,0,0,3
2872721598,0,0,3
2386125085,0,0,3
6970752629,0,0,3
1027799027,0,0,3
6793912610,0,0,3
6554009331,0,0,3
5053476295,0,0,3
5062556778,0,0,3
