ImageID,Num_of_Positive,Num_of_Neutral,Num_of_Negative
4788361273,0,2,1
1262950913,0,2,1
5454711510,0,2,1
3506363323,0,2,1
6819823213,0,2,1
5003288792,0,2,1
5655720458,0,2,1
5402163588,0,2,1
6467692351,0,2,1
3140015345,0,2,1
5592545115,0,2,1
3320505097,0,2,1
6545656469,0,2,1
3144623805,0,2,1
3157850078,0,2,1
4940787254,0,2,1
5961860287,0,2,1
450310946,0,2,1
306963798,0,2,1
5887142161,0,2,1
3460049020,0,2,1
4985885818,0,2,1
4971950124,0,2,1
5277940621,0,2,1
4033899772,0,2,1
5064643435,0,2,1
6218039746,0,2,1
5312925615,0,2,1
5911833765,0,2,1
3340727357,0,2,1
2411176360,0,2,1
3814368927,0,2,1
5038741376,0,2,1
4249401684,0,2,1
4626701429,0,2,1
4901466666,0,2,1
5170751853,0,2,1
5889721658,0,2,1
219337168,0,2,1
5598549437,0,2,1
2300558015,0,2,1
6318745496,0,2,1
3065959886,0,2,1
3742369348,0,2,1
6660095187,0,2,1
5409455811,0,2,1
3236698419,0,2,1
5407525314,0,2,1
5758822830,0,2,1
4095010858,0,2,1
6878777655,0,2,1
6189924893,0,2,1
5628285761,0,2,1
3472900659,0,2,1
4105615654,0,2,1
6221591860,0,2,1
2826180453,0,2,1
126794438,0,2,1
2915262436,0,2,1
255424010,0,2,1
101967437,0,2,1
3623303338,0,2,1
5155849969,0,2,1
6819442523,0,2,1
6521045765,0,2,1
5221359371,0,2,1
288932830,0,2,1
3091347513,0,2,1
520851922,0,2,1
5578047533,0,2,1
5835683013,0,2,1
5681623153,0,2,1
5064871508,0,2,1
467224427,0,2,1
2586074545,0,2,1
4833989550,0,2,1
6849620783,0,2,1
4704964434,0,2,1
2551869719,0,2,1
6980111345,0,2,1
5657545188,0,2,1
3518402664,0,2,1
3225519112,0,2,1
3786905339,0,2,1
6856593038,0,2,1
2447412308,0,2,1
9063894,0,2,1
6867326755,0,2,1
4774884519,0,2,1
1397285488,0,2,1
4282755486,0,2,1
3373006456,0,2,1
5665215719,0,2,1
2414594994,0,2,1
4803132107,0,2,1
7075770225,0,2,1
6641552169,0,2,1
5211813906,0,2,1
3276593906,0,2,1
388320175,0,2,1
7019589709,0,2,1
300687703,0,2,1
6988886416,0,2,1
2567901318,0,2,1
476787731,0,2,1
3760384860,0,2,1
3646729599,0,2,1
253575314,0,2,1
417988518,0,2,1
4872563619,0,2,1
7314377962,0,2,1
4520040514,0,2,1
2914613459,0,2,1
6059937823,0,2,1
4492393074,0,2,1
865875893,0,2,1
6812619040,0,2,1
6857609481,0,2,1
5200128369,0,2,1
1972971847,0,2,1
5817344830,0,2,1
188149294,0,2,1
2315741514,0,2,1
4576727447,0,2,1
2669386425,0,2,1
1501722523,0,2,1
6164734326,0,2,1
3551503119,0,2,1
5694681859,0,2,1
3820149555,0,2,1
5935759698,0,2,1
6076673479,0,2,1
5475230713,0,2,1
5761312476,0,2,1
4789014331,0,2,1
5303047707,0,2,1
6636498581,0,2,1
2532514779,0,2,1
5253776218,0,2,1
6332979523,0,2,1
5957366218,0,2,1
4445621177,0,2,1
572715993,0,2,1
3750475036,0,2,1
6859840050,0,2,1
6793543288,0,2,1
3392453504,0,2,1
3629035921,0,2,1
481565493,0,2,1
4998520403,0,2,1
2667847201,0,2,1
5955565579,0,2,1
6321450478,0,2,1
130727981,0,2,1
3005069862,0,2,1
7120115037,0,2,1
4735814326,0,2,1
4880380284,0,2,1
2336771909,0,2,1
5022426223,0,2,1
5912313765,0,2,1
5033912579,0,2,1
5131677581,0,2,1
2260667537,0,2,1
3246337058,0,2,1
6250767751,0,2,1
6588318767,0,2,1
5793199145,0,2,1
5701614963,0,2,1
5705672039,0,2,1
5156216044,0,2,1
5516165440,0,2,1
2346113086,0,2,1
4228331533,0,2,1
4736044320,0,2,1
5033927875,0,2,1
6028358093,0,2,1
4494593148,0,2,1
2804708124,0,2,1
4316599488,0,2,1
4349113428,0,2,1
3021260313,0,2,1
4590308914,0,2,1
298611779,0,2,1
5275557535,0,2,1
7025600483,0,2,1
6675450107,0,2,1
4675719234,0,2,1
2695293083,0,2,1
7380487,0,2,1
2305852067,0,2,1
5196732257,0,2,1
5839879065,0,2,1
5722101852,0,2,1
2808904802,0,2,1
212993258,0,2,1
6881971935,0,2,1
3184714277,0,2,1
2726212802,0,2,1
6317516123,0,2,1
5465544922,0,2,1
5043235522,0,2,1
2662779865,0,2,1
2673328219,0,2,1
3533845543,0,2,1
6709725143,0,2,1
170239602,0,2,1
4897947032,0,2,1
4805552355,0,2,1
6215481581,0,2,1
6341213678,0,2,1
3135105647,0,2,1
5206788671,0,2,1
4490873407,2,1,0
3916095759,2,1,0
3649169786,2,1,0
4874561140,2,1,0
394460575,2,1,0
7116956935,2,1,0
409920585,2,1,0
3140508698,2,1,0
2587901296,2,1,0
4840771053,2,1,0
6873663551,2,1,0
6100049511,2,1,0
6231755873,2,1,0
4818381935,2,1,0
1443129409,2,1,0
1183939739,2,1,0
2697292204,2,1,0
5570106444,2,1,0
2366477939,2,1,0
297136702,2,1,0
5935985938,2,1,0
4776448074,2,1,0
6535820061,2,1,0
4336241964,2,1,0
7214946814,2,1,0
2656253075,2,1,0
4846830577,2,1,0
95127711,2,1,0
1429857402,2,1,0
4802738461,2,1,0
5729829498,2,1,0
6931546496,2,1,0
6098223695,2,1,0
6829503290,2,1,0
3147284278,2,1,0
5674785574,2,1,0
2067609346,2,1,0
5167723527,2,1,0
4962909777,2,1,0
4895321584,2,1,0
4918501667,2,1,0
4857983657,2,1,0
2820313368,2,1,0
2985762983,2,1,0
3311845713,2,1,0
6474511105,2,1,0
1447504289,2,1,0
2754851065,2,1,0
2548927728,2,1,0
5015943765,2,1,0
3930978024,2,1,0
6844958695,2,1,0
2760651768,2,1,0
4927839935,2,1,0
4868807871,2,1,0
6739114117,2,1,0
4247670846,2,1,0
6526988913,2,1,0
6012401221,2,1,0
4701246426,2,1,0
6346250843,2,1,0
5530753875,2,1,0
2968166981,2,1,0
4286149101,2,1,0
5393003414,2,1,0
6501144129,2,1,0
5854288710,2,1,0
5206269540,2,1,0
6972867887,2,1,0
60160718,2,1,0
4299437037,2,1,0
3260244634,2,1,0
5935190699,2,1,0
5482254460,2,1,0
2197780502,2,1,0
4543325721,2,1,0
2598157906,2,1,0
11091908,2,1,0
283032520,2,1,0
5174537299,2,1,0
6274886485,2,1,0
2607129207,2,1,0
3284516195,2,1,0
3596487230,2,1,0
4775476189,2,1,0
5274629433,2,1,0
6321750440,2,1,0
6747633965,2,1,0
5037236376,2,1,0
5443707958,2,1,0
5848765430,2,1,0
6369523797,2,1,0
5760992993,2,1,0
3264106743,2,1,0
2380211499,2,1,0
4136684749,2,1,0
6778914202,2,1,0
2458695331,2,1,0
3329338439,2,1,0
